GEOID20,POP20,votes_dem,votes_gop,WHITEPOP,BLACKPOP,HISPLATPOP
291892188006,1145,363.6846112,361.7121736,1083,1,16
291892189011,1170,384.6371953,226.8871801,403,613,35
291892189012,1571,453.3363867,342.2925969,1126,279,42
291892189013,684,211.0328724,145.9155863,463,122,29
291892189021,1083,356.5180968,289.3773647,852,98,58
291892189022,1845,623.3088015,466.9053724,1265,373,77
291892191001,1168,417.1223897,296.0905303,1058,10,46
291892191002,877,313.1300993,217.9008353,789,15,31
291892191003,967,339.9513503,235.079336,885,5,25
291892191004,938,311.944066,219.180938,791,38,36
291892192001,1469,486.2547949,357.9213832,1310,39,51
291892192002,1210,367.0467718,276.5354368,1112,18,45
291892193001,716,226.9737576,159.3524512,560,83,27
291892193002,727,262.4955342,197.3109642,628,13,23
291892193003,727,267.8795482,201.6857487,663,19,19
291892194001,1612,512.2271044,456.4818184,1478,9,44
291892194002,1025,342.2474533,265.0822326,974,9,19
291892194003,1443,493.7109921,401.3713234,1344,20,23
291892194004,1012,337.3647952,286.2393833,904,9,37
291892194005,1243,420.3383844,351.8452441,1129,23,26
291892195011,1512,457.7746771,350.4041739,1219,113,82
291892195012,1442,506.4677631,389.0405752,1295,17,47
291892195013,823,258.8273215,204.5973623,772,10,17
291892195014,987,311.8457708,244.9214758,867,19,30
291892195021,968,320.92678,237.9539799,877,8,28
291892195022,1585,513.5603176,451.2122188,1516,13,25
291892196011,1934,610.9580857,547.9391639,1723,29,79
291892196012,1094,287.9268942,249.5340104,1031,23,4
291892196013,1148,323.2570176,263.8945086,823,162,58
291892196021,681,228.8473105,171.0744963,584,28,25
291892196022,1086,338.3053342,276.1250942,919,41,29
291892196023,812,261.7343625,212.9998492,707,23,35
291892197001,1884,419.9630791,350.2968909,1468,167,91
291892197002,688,203.0280637,203.5679159,600,9,35
291892197003,1126,268.0045402,248.531387,982,24,32
291892197004,924,230.0555936,219.4088333,804,34,48
291892197005,1265,319.5336704,303.8510921,1001,70,47
291892198011,1274,247.0255484,235.2608266,1081,37,49
291892198012,1654,381.9731344,356.9169692,1458,26,59
291892198013,854,215.4576078,210.4073414,706,18,50
291892198021,2464,653.4477333,621.2514812,2105,134,58
291892198022,1293,249.8730534,237.5028748,1023,109,55
291892199001,918,180.5476387,186.9941421,802,33,30
291892199002,808,154.7326678,138.8856312,659,8,34
291892199003,646,123.7095338,111.0397495,501,3,25
291892199004,1043,217.4424427,224.373097,846,24,36
291892199005,1775,362.1798793,345.2981524,1278,38,33
291892199006,911,209.7678594,190.2651324,766,15,24
291892200011,1762,400.147413,380.0517946,1591,35,50
291892200012,2671,568.7215453,549.7611155,2303,56,65
291892200013,657,153.7754411,143.5072366,604,7,15
291892200021,770,181.5483009,177.5976041,678,24,32
291892200022,1506,350.5603103,325.0232673,1250,85,57
291892200023,923,215.4668967,208.84254,786,24,30
291892201011,1289,204.0477671,208.6055237,1126,30,46
291892201012,1146,202.0788392,201.9169964,953,30,61
291892201013,796,145.823201,147.7321134,664,34,49
291892201021,1854,280.8741986,252.3046037,1282,80,72
291892201022,1350,263.4597102,268.7240662,1171,39,28
291892201023,1299,201.3718608,190.9608601,1163,23,31
291892202001,937,131.4809628,141.1396671,718,80,57
291892202002,1267,174.3707429,178.0282595,958,128,83
291892202003,1047,153.09734,155.2370709,801,71,84
291892202004,602,77.1521459,79.44027462,488,41,25
291892202005,1851,245.4736464,253.0438367,1452,105,121
291892203001,1763,311.367726,298.5194458,1268,274,86
291892204411,1206,254.6189257,289.4756953,1101,9,42
291892204412,2575,620.2250035,711.7814961,2323,40,59
291892204413,2243,513.421689,595.3180887,1931,97,100
291892204421,2475,608.7242732,658.3089063,2242,21,76
291892204422,1998,501.6794411,566.8107517,1815,52,40
291892204431,2001,484.8065626,558.4671611,1809,22,43
291892204432,2131,498.7499946,521.8045142,1829,116,56
291892204451,2485,638.1556544,835.8642263,2252,27,50
291892204452,1097,283.5971458,358.338767,977,0,28
291892204453,1358,358.9010971,419.0842786,1287,10,17
291892204461,2316,651.7552127,805.7625569,2157,19,37
291892204462,2098,554.6692738,654.5292389,1912,21,57
291892204471,1087,197.2520641,197.516686,923,56,30
291892204472,1167,211.7692353,212.053333,1011,61,38
291892204473,1038,251.5648602,284.6121848,938,14,40
291892204481,2071,430.3182725,410.978597,1604,183,124
291892204482,2407,668.994051,710.7595255,2189,15,47
291892204483,719,150.8910595,176.4373555,641,3,22
291892204491,2382,618.6616104,680.6092435,2086,78,53
291892204492,1127,304.3475277,358.9598632,1021,17,45
291892204493,1680,451.7130954,484.8810488,1555,2,55
291892204501,1677,431.2269506,511.9858158,1540,24,34
291892204502,1155,305.0572684,351.1603817,1036,4,19
291892204511,2366,620.7758155,782.8415985,2171,20,56
291892204512,1709,413.982304,513.0896986,1550,13,45
291892204521,2782,722.823413,870.8748005,2562,23,48
291892204522,1099,272.4875756,327.5432218,951,24,43
291892205011,2258,488.9149594,479.2679203,1929,71,88
291892205012,2100,438.7162152,427.8809794,1807,45,70
291892205013,1408,227.78591,228.222172,1164,49,80
291892205014,655,137.5078568,134.0130492,557,14,53
291892205031,1523,360.0242355,364.1068988,1311,26,43
291892205032,1147,273.3639205,273.7025426,1002,41,37
291892205041,1441,264.5018924,259.1627015,1027,221,61
291892205042,889,166.2556401,163.8632943,737,22,36
291892205043,1543,311.6145434,310.7375021,1249,75,79
291892206011,2097,481.6855109,434.1376024,1711,78,60
291892206012,2652,663.5748286,668.4830129,2362,41,87
291892206013,1997,541.241345,568.6233261,1766,30,64
291892206021,1968,352.3035166,342.3936603,1687,74,55
291892206022,1172,257.0420477,267.0732768,1025,11,28
291892206023,1630,417.2006213,438.7075955,1433,38,48
291892206024,990,210.0038355,222.3823579,851,12,28
291892207011,1776,373.9093078,391.1837699,1561,53,46
291892207012,1553,408.575422,386.9729399,1377,5,43
291892207021,1081,276.3658125,275.3512831,954,7,31
291892207022,1587,398.290937,412.7880593,1462,9,45
291892207023,1199,302.5646845,315.4096424,1067,8,42
291892207031,2832,728.6493999,737.9706385,2544,31,110
291892208011,1882,450.8815033,389.7196252,1515,170,71
291892208012,1057,299.9965795,288.6685379,909,32,41
291892208013,759,193.772382,184.8498662,646,31,43
291892208014,1959,589.9307261,603.9068902,1824,13,32
291892208021,857,244.6106868,229.5968886,723,50,30
291892208022,1576,466.8224007,466.6698955,1452,6,23
291892208023,678,200.2377176,190.7405103,628,8,12
291892208024,1962,474.0297507,468.1543137,1638,83,80
291892208031,1550,486.5367572,463.1091167,1418,9,30
291892208032,2108,668.9566193,676.6761769,1941,12,54
291892208033,1239,391.3703092,401.7952581,1100,12,48
291892210001,966,232.5000002,136.2777778,215,635,19
291892210002,728,187.8381404,172.7940302,628,24,23
291892210003,716,196.5886842,190.0188669,633,21,26
291892210004,913,218.8956788,197.4579522,689,72,45
291892211001,1847,583.6858047,533.5333994,1679,26,47
291892212011,1615,445.1444618,516.9502617,1495,0,22
291892212012,685,176.3645251,217.9102858,582,4,21
291892212013,1575,410.6803046,501.1308261,1447,0,28
291892212021,2331,585.167365,622.1036971,2081,29,78
291892212022,1706,462.3339745,540.1590979,1536,15,32
291892212023,1063,288.3731849,360.2745785,966,8,30
291892212024,1119,305.821808,379.0829477,1015,1,20
291892213321,1884,541.0529704,595.7848988,1737,25,51
291892213322,2758,635.8412108,704.3879523,2443,38,46
291892213351,1082,288.6893508,351.4699065,951,33,26
291892213352,1784,567.6605617,618.5769429,1617,44,20
291892213353,1521,436.1386963,511.854509,1375,13,41
291892213354,1468,377.3534603,426.2062186,1287,58,40
291892213361,2763,751.2615727,830.6194906,2510,12,60
291892213362,1018,243.4775227,267.317878,866,39,35
291892213371,2050,556.000119,605.1319118,1840,17,52
291892213372,1773,430.4322539,451.1966875,1536,31,49
291892213381,1206,326.2389911,395.9213954,1102,11,14
291892213382,1845,293.1440575,251.2314322,1224,351,89
291892213391,1654,458.9773565,502.0087516,1495,7,57
291892213392,2085,565.4431454,680.0020479,1906,36,37
291892214211,1460,421.4629364,468.8829314,1264,13,29
291892214212,1024,225.4443949,278.1744487,893,28,30
291892214213,1711,470.7025503,551.8533344,1559,9,38
291892214214,2012,472.9025208,578.1988687,1853,4,22
291892214215,1269,295.9792355,374.8485104,1095,13,51
291892214231,1054,262.3852988,310.2711119,953,7,32
291892214232,2256,642.7518573,764.6107828,2087,7,46
291892214233,679,187.182365,219.2022844,605,10,24
291892214241,1939,443.4283999,526.8205667,1789,13,46
291892214242,1569,396.6501094,450.8358895,1445,8,20
291892214243,1404,338.8630124,390.8408801,1236,8,17
291892214251,1345,328.5667591,380.1580979,1179,17,26
291892214252,2487,624.0581928,733.3242064,2206,34,46
291892214253,1856,446.5258287,519.85383,1651,34,51
291892214261,1749,415.1067827,484.9990142,1603,11,54
291892214262,1195,285.7712304,321.2534939,1052,3,33
291892215021,1501,360.3580816,447.2081194,1410,7,22
291892215022,1796,505.3087339,643.8964304,1622,3,45
291892215023,1888,411.2073912,486.7639389,1705,22,51
291892215024,2291,487.4500938,612.2101015,2099,25,68
291892215031,3354,538.7698604,720.3286132,2485,644,109
291892215032,2013,400.8021354,519.8362707,1793,9,103
