Unit 1,Unit 2,Length of border
29071800201,29183312204,2.763186976
29071800201,29219,5.155709238
29071800202,29071800301,5.874127517
29071800202,29071800302,0.0
29071800202,29071800403,4.114392405
29071800202,29071800603,8.795994683
29071800301,29071800302,7.128200694
29071800301,29071800401,18.74433997
29071800301,29071800403,11.48787636
29071800301,29219,4.185311522
29071800302,29219,1.45470276
29071800401,29071800403,6.87774322
29071800401,29071800404,30.25015929
29071800401,29073,21.288750724
29071800401,29219,44.835299250999995
29071800403,29071800404,18.00351818
29071800403,29071800501,12.07196082
29071800403,29071800603,2.272240301
29071800403,29071800605,6.079778101
29071800404,29071800501,4.215944972
29071800404,29071800502,18.42197487
29071800404,29073,21.33355587
29071800501,29071800502,34.06004531
29071800501,29071800605,16.41297898
29071800501,29071800901,6.201570292
29071800501,29071800903,23.13233422
29071800501,29071801000,8.251667165
29071800501,29071801101,0.0
29071800501,29071801102,30.05941197
29071800502,29071801102,13.22847843
29071800502,29055,9.097238459
29071800502,29073,25.53354892
29071800603,29071800604,4.823000447
29071800603,29071800605,4.107841721
29071800603,29071800606,5.819561749
29071800604,29071800605,8.677628601
29071800604,29071800606,1.275380979
29071800605,29071800606,7.602109194
29071800605,29071800903,2.911538849
29071800606,29071800802,6.564138853
29071800606,29071800903,6.953926581
29071800702,29071800703,1.321769347
29071800702,29071800704,8.448359935
29071800702,29189221502,6.838173738
29071800702,29189221621,0.0
29071800703,29071800704,8.507935546
29071800703,29071800801,22.88816632
29071800703,29071800802,9.492861427
29071800703,29099700402,0.0
29071800703,29189221503,2.234506606
29071800704,29189221502,0.019771564
29071800704,29189221503,1.325655855
29071800801,29071800802,20.83340989
29071800801,29071800901,0.0
29071800801,29071800904,13.72213219
29071800801,29071801000,18.27240921
29071800801,29099700401,13.75091645
29071800801,29099700402,8.633169561
29071800801,29099701102,0.0
29071800801,29189221503,0.0
29071800802,29071800903,5.409539997
29071800802,29071800904,10.76947721
29071800901,29071800903,5.25921204
29071800901,29071800904,11.23777335
29071800901,29071801000,41.78984557
29071800903,29071800904,8.319619043
29071800904,29071801000,0.0
29071801000,29071801101,20.2927285
29071801000,29071801102,0.0
29071801000,29099700401,0.0
29071801000,29099701102,14.30431661
29071801000,29055,0.199697103
29071801000,29221,34.465125362
29071801101,29071801102,12.57000636
29071801101,29055,8.682165404
29071801102,29055,12.33843983
29077000101,29077000102,1.048418767
29077000101,29077000502,1.534442304
29077000101,29077000600,0.766432894
29077000101,29077000700,0.0
29077000102,29077000200,1.0344826
29077000102,29077000502,0.51425451
29077000102,29077000600,0.0
29077000102,29077000700,1.254830785
29077000102,29077000900,0.919525633
29077000200,29077000300,1.535075216
29077000200,29077000502,0.825318475
29077000200,29077000900,1.67856023
29077000200,29077001000,0.0
29077000300,29077000400,2.042023205
29077000300,29077000502,0.486659386
29077000300,29077000900,0.0
29077000300,29077001000,2.025123819
29077000300,29077001100,0.0
29077000300,29077001200,2.022985836
29077000300,29077001500,0.0
29077000400,29077000501,1.507288155
29077000400,29077000502,0.999054578
29077000400,29077001200,0.0
29077000400,29077001500,2.540548131
29077000400,29077001700,0.0
29077000400,29077005801,0.0
29077000400,29077005802,2.031448945
29077000501,29077000502,2.084892811
29077000501,29077000600,0.486494984
29077000501,29077001700,1.699053993
29077000501,29077005802,0.0
29077000502,29077000600,1.0795934
29077000600,29077000700,2.8768958
29077000600,29077001700,0.424444118
29077000600,29077001800,3.500951966
29077000600,29077001900,0.817295889
29077000600,29077005500,0.130401143
29077000700,29077000800,2.920539873
29077000700,29077000900,0.598866748
29077000700,29077005500,2.075831115
29077000800,29077000900,1.570680528
29077000800,29077002200,2.499869799
29077000800,29077002300,0.494996543
29077000800,29077005500,1.536265714
29077000900,29077001000,1.558001014
29077000900,29077002300,2.029728464
29077000900,29077005700,0.0
29077001000,29077001100,1.575933389
29077001000,29077001200,0.0
29077001000,29077002300,0.0
29077001000,29077005700,2.026752579
29077001100,29077001200,1.997270514
29077001100,29077001301,1.092216203
29077001100,29077001302,0.0
29077001100,29077002600,2.074871978
29077001100,29077002700,1.617199666
29077001100,29077005700,1.01349636
29077001200,29077001301,2.054465017
29077001200,29077001401,0.0
29077001200,29077001500,2.179292123
29077001301,29077001302,2.019177438
29077001301,29077001401,0.88903913
29077001301,29077001402,0.0
29077001301,29077001500,0.0
29077001301,29077002700,0.0
29077001302,29077001401,0.0
29077001302,29077001402,1.018275912
29077001302,29077002700,0.94514513
29077001302,29077002800,1.993922984
29077001302,29077002900,0.0
29077001401,29077001402,2.31078214
29077001401,29077001500,2.33712367
29077001401,29077003003,0.928806666
29077001401,29077003004,0.0
29077001402,29077002800,0.0
29077001402,29077002900,2.593510284
29077001402,29077003003,0.0
29077001402,29077003004,1.052899414
29077001500,29077003003,0.073963544
29077001500,29077005801,2.125935573
