GEOID20,POP20,votes_dem,votes_gop,WHITEPOP(non-Hisp),BLACKPOP,HISPLATPOP
29099700212,2927,493.1679314,578.7307063,2459,58,144
29099700213,3122,527.9236019,632.058617,2788,35,80
29099700302,5581,1053.923439,1408.723984,5033,27,136
29099700303,4652,942.4809127,1198.150552,4162,32,140
29099700305,3814,711.192702,941.6588392,3386,20,113
29099700306,3572,669.4442695,891.53331,3227,19,99
29099700401,4769,912.1837209,1324.484592,4415,10,93
29099700402,6552,1498.557247,1999.732554,5999,36,157
29099700502,6120,1066.097818,1575.049099,5601,61,102
29099700503,3234,561.9167914,781.7399143,2926,10,53
29099700504,4278,796.4845394,1130.634134,3949,9,72
29099700603,6420,1230.424725,1628.499506,5851,28,162
29099700604,6331,1193.486387,1705.30125,5808,24,108
29099700605,6429,1147.105543,1629.740492,5722,90,142
29099700606,2946,483.7710425,645.8280445,2597,48,76
29099700607,2779,492.2471337,662.4873505,2528,30,54
29099700700,4605,850.6162186,1076.863066,4063,158,55
29099700801,5795,1038.528227,1356.350365,5164,110,146
29099700802,5577,973.4053872,1348.383657,4933,119,122
29099700900,5810,1094.082059,1435.592156,5020,213,126
29099701001,4753,834.2622758,1216.018182,4292,21,98
29099701002,4072,746.9279739,1119.035672,3732,10,78
29099701101,4506,860.3503004,1271.05353,4165,5,75
29099701102,5285,992.8748091,1515.872137,4854,15,64
29099701200,5941,984.4860395,1306.097014,5427,48,81
29099701300,3400,586.6239847,804.8398734,3082,35,46
29099701401,4093,767.6604385,1139.045097,3831,26,55
29099701403,3871,707.0175723,1065.893051,3627,8,63
29099701404,6303,1273.878063,1788.282751,5656,54,131
29183310100,2064,536.7222227,697.4065409,1919,18,24
29183310201,6187,1170.623829,1237.336508,5068,447,225
29183310202,3602,841.1838915,1011.387281,2962,361,78
29183310301,4068,995.2288084,1136.91606,3599,126,109
29183310302,3980,961.4038579,975.236462,3263,260,141
29183310400,2035,493.1618227,477.0076603,1740,70,67
29183310501,3872,270.2915178,262.6908921,2779,264,548
29183310502,2467,284.3597378,275.6332123,1901,290,80
29183310601,3757,400.1635561,427.3295229,2882,232,337
29183310602,5680,1304.34045,1553.031832,5002,196,162
29183310700,5232,1003.0889,1069.4774,3890,467,492
29183310801,2487,532.4305744,562.5489609,2018,201,85
29183310802,5946,878.2742863,953.6870831,4832,397,271
29183310901,2375,479.5307719,498.5173971,1640,410,91
29183310902,5318,1167.857843,1270.136104,4011,335,548
29183310903,4051,894.79663,962.0660158,3201,388,137
29183311001,4271,645.4191398,716.4309949,3246,293,228
29183311003,3149,590.9686842,594.6799415,2204,444,194
29183311004,5736,792.7281266,829.8055135,4058,634,237
29183311103,6533,1507.549672,2090.086629,5880,139,131
29183311114,5253,1327.321792,1618.548044,4565,194,151
29183311122,7301,1739.349549,1979.850639,5734,648,282
29183311124,6907,1430.939296,1702.288087,5427,249,220
29183311132,3499,916.8773015,1161.944559,3153,72,78
29183311145,4388,1114.03589,1317.220371,3736,145,153
29183311146,4488,932.4246396,1055.042136,3587,249,158
29183311147,4031,1031.979653,1196.623595,3380,208,131
29183311148,4317,1144.809906,1360.612398,3784,122,160
29183311149,3835,928.5348601,1077.426982,3207,147,179
29183311150,4720,1203.614427,1360.242819,3990,153,177
29183311151,6413,1337.92105,1603.609746,5093,313,196
29183311152,4590,1081.322296,1350.322775,4071,114,84
29183311153,6886,1414.789469,1803.855399,5483,283,214
29183311154,5387,1238.722223,1503.166666,4582,158,159
29183311203,6154,1413.415168,1622.309025,5054,359,216
29183311211,5470,1336.078685,1510.165932,4291,446,163
29183311212,4243,975.1713919,1063.821045,3312,258,185
29183311221,3613,833.5821233,964.2831215,3051,158,103
29183311294,3826,937.2532319,1088.884756,3269,146,117
29183311296,4110,1180.407997,1345.029174,3595,136,106
