GEOID,district
29001950100,5
29001950200,5
29001950300,5
29001950400,5
29001950501,5
29001950502,5
29001950900,5
29001951000,5
29003010100,5
29003010201,5
29003010202,5
29003010300,5
29003010400,5
29005950100,5
29005950200,5
29007950100,3
29007950200,3
29007950300,3
29007950400,3
29007950500,3
29007950600,3
29007950700,3
29009960101,2
29009960102,2
29009960201,2
29009960202,2
29009960301,2
29009960302,2
29009960401,2
29009960402,2
29009960500,2
29009960600,2
29011960100,2
29011960200,2
29011960300,2
29013070100,4
29013070200,4
29013070300,4
29013070400,4
29015460100,4
29015460200,4
29015460300,4
29015460400,4
29015460701,4
29015460702,4
29015460801,4
29015460802,4
29017950100,6
29017950200,6
29017950300,6
29019000200,5
29019000300,5
29019000500,5
29019000600,5
29019000700,5
29019000900,5
29019001001,5
29019001003,5
29019001004,5
29019001105,5
29019001106,5
29019001107,5
29019001108,5
29019001109,5
29019001110,5
29019001201,5
29019001202,5
29019001300,5
29019001401,5
29019001402,5
29019001503,5
29019001505,5
29019001506,5
29019001507,5
29019001508,5
29019001602,5
29019001603,5
29019001604,5
29019001702,5
29019001703,5
29019001704,5
29019001803,5
29019001806,5
29019001807,5
29019001901,5
29019001903,5
29019001904,5
29019002000,5
29019002100,5
29019002200,5
29021000100,5
29021000200,5
29021000300,5
29021000400,5
29021000500,5
29021000600,5
29021000701,5
29021000702,5
29021000900,5
29021001000,5
29021001100,5
29021001200,5
29021001500,5
29021001600,5
29021001700,5
29021001800,5
29021002100,5
29021002200,5
29021002300,5
29021002400,5
29021002500,5
29021002700,5
29021002800,5
29021002900,5
29021003001,5
29021003002,5
29023950101,6
29023950102,6
29023950201,6
29023950202,6
29023950301,6
29023950302,6
29023950400,6
29023950500,6
29023950600,6
29023950700,6
29023950800,6
29023950900,6
29025950100,5
29025950201,5
29025950202,5
29027070100,3
29027070200,3
29027070301,3
29027070302,3
29027070400,3
29027070500,3
29027070601,3
29027070602,3
29027070701,3
29027070702,3
29027070800,3
29029950101,4
29029950102,4
29029950201,4
29029950202,4
29029950301,4
29029950302,4
29029950401,4
29029950402,4
29029950500,4
29029950600,4
29029950701,4
29029950702,4
29029950801,4
29029950802,4
29029950900,4
29029951101,4
29029951102,4
29029951201,4
29029951202,4
29031880100,6
29031880200,6
29031880300,6
29031880401,6
29031880402,6
29031880501,6
29031880502,6
29031880600,6
29031880700,6
29031880800,6
29031880900,6
29031881000,6
29031881100,6
29031881200,6
29031881301,6
29031881302,6
29031881400,6
29031881500,6
29031881600,6
29033960100,5
29033960200,5
29033960300,5
29035960100,6
29035960200,6
29037060001,4
29037060003,4
29037060004,4
29037060100,4
29037060202,4
29037060305,4
29037060306,4
29037060307,4
29037060308,4
29037060309,4
29037060401,4
29037060402,4
29037060500,4
29037060601,4
29037060602,4
29037060700,4
29037060800,4
29037060904,4
29037061001,4
29037061002,4
29037061100,4
29037061200,4
29037061300,4
29037061400,4
29039870101,4
29039870102,4
29039870200,4
29039870300,4
29041470100,5
29041470200,5
29041470300,5
29043020101,2
29043020102,2
29043020201,2
29043020202,2
29043020204,2
29043020205,2
29043020206,2
29043020207,2
29043020302,2
29043020303,2
29043020304,2
29043020307,2
29043020308,2
29043020309,2
29043020310,2
29043020401,2
29043020402,2
29043020501,2
29043020502,2
29045950100,5
29045950200,5
29045950300,5
29047020201,7
29047020202,7
29047020300,7
29047020400,7
29047020500,7
29047020602,7
29047020603,7
29047020604,7
29047020802,7
29047020803,7
29047020901,7
29047020902,7
29047021001,7
29047021003,7
29047021004,7
29047021101,7
29047021103,7
29047021104,7
29047021105,7
29047021204,7
29047021208,7
29047021209,7
29047021210,7
29047021211,7
29047021212,7
29047021213,7
29047021214,7
29047021303,7
29047021307,7
29047021309,7
29047021311,5
29047021312,7
29047021313,7
29047021314,7
29047021401,5
29047021403,7
29047021404,7
29047021601,5
29047021602,5
29047021701,5
29047021703,5
29047021704,5
29047021806,5
29047021807,5
29047021808,5
29047021809,5
29047021810,5
29047021811,5
29047021812,5
29047021900,5
29047022000,5
29047022100,7
29047022200,7
29047022301,7
29047022302,7
29049960100,5
29049960201,5
29049960202,5
29049960300,5
29049960400,5
29051010300,3
29051010401,3
29051010402,3
29051010500,3
29051010600,3
29051010701,3
29051010702,3
29051010801,3
29051010802,3
29051010901,3
29051010902,3
29051020198,3
29051020200,3
29051020300,3
29051020400,3
29051020500,3
29051020600,3
29051020700,3
29053950100,5
29053950200,5
29053950300,5
29053950400,5
29053950500,5
29055450101,6
29055450103,6
29055450104,6
29055450200,6
29055450301,6
29055450302,6
29055450401,6
29055450402,6
29057480100,2
29057480200,2
29059480100,4
29059480200,4
29059480301,4
29059480302,4
29061470100,5
29061470200,5
29063080101,5
29063080102,5
29063080200,5
29065960100,6
29065960200,6
29065960300,6
29065960400,6
29067950100,6
29067950200,6
29067950500,6
29069360100,6
29069360200,6
29069360300,6
29069360400,6
29069360500,6
29069360600,6
29069360700,6
29069360800,6
29069360900,6
29069361000,6
29071800101,3
29071800102,3
29071800103,3
29071800104,3
29071800201,3
29071800202,3
29071800301,3
29071800302,3
29071800401,3
29071800403,3
29071800404,3
29071800501,3
29071800502,3
29071800603,3
29071800604,3
29071800605,3
29071800606,3
29071800702,3
29071800703,3
29071800704,3
29071800801,3
29071800802,3
29071800901,3
29071800903,3
29071800904,3
29071801000,3
29071801101,3
29071801102,3
29073960100,6
29073960200,6
29073960300,6
29073960400,6
29073960500,6
29075960100,5
29075960200,5
29077000101,2
29077000102,2
29077000200,2
29077000300,2
29077000400,2
29077000501,2
29077000502,2
29077000600,2
29077000700,2
29077000800,2
29077000900,2
29077001000,2
29077001100,2
29077001200,2
29077001301,2
29077001302,2
29077001401,2
29077001402,2
29077001500,2
29077001700,2
29077001800,2
29077001900,2
29077002200,2
29077002300,2
29077002402,2
29077002502,2
29077002600,2
29077002700,2
29077002800,2
29077002900,2
29077003003,2
29077003004,2
29077003100,2
29077003200,2
29077003300,2
29077003600,2
29077003701,2
29077003702,2
29077003801,2
29077003802,2
29077003900,2
29077004002,2
29077004003,2
29077004004,2
29077004005,2
29077004104,2
29077004105,2
29077004106,2
29077004107,2
29077004108,2
29077004109,2
29077004201,2
29077004202,2
29077004303,2
29077004304,2
29077004305,2
29077004306,2
29077004401,2
29077004402,2
29077004500,2
29077004601,2
29077004602,2
29077004700,2
29077004802,2
29077004803,2
29077004804,2
29077004805,2
29077004900,2
29077005001,2
29077005002,2
29077005100,2
29077005201,2
29077005202,2
29077005500,2
29077005600,2
29077005700,2
29077005801,2
29077005802,2
29079960100,5
29079960200,5
29079960300,5
29079960400,5
29081950100,5
29081950200,5
29081950300,5
29083950100,4
29083950200,4
29083950300,4
29083950400,4
29083950500,4
29083950600,4
29085470100,4
29085470300,4
29085470501,4
29085470502,4
29087960100,5
29087960200,5
29087960300,5
29089960100,5
29089960200,5
29089960300,5
29091090101,6
29091090102,6
29091090200,6
29091090300,6
29091090400,6
29091090500,6
29091090600,6
29091090700,6
29091090801,6
29091090802,6
29093950100,6
29093950200,6
29093950300,6
29093950400,6
29095000300,7
29095000600,7
29095000700,7
29095000800,7
29095000900,7
29095001000,7
29095001100,7
29095001800,7
29095001900,7
29095002000,7
29095002100,7
29095002200,7
29095002300,7
29095003400,7
29095003700,7
29095003800,7
29095004300,7
29095004400,7
29095004600,7
29095005100,7
29095005200,7
29095005300,7
29095005400,7
29095005500,7
29095005601,7
29095005602,7
29095005700,7
29095005801,7
29095006000,7
29095006100,7
29095006300,7
29095006500,7
29095006600,7
29095006700,7
29095006900,7
29095007100,7
29095007200,7
29095007301,7
29095007302,7
29095007400,7
29095007500,7
29095007600,7
29095007700,7
29095007802,7
29095007900,7
29095008000,7
29095008100,7
29095008200,7
29095008300,7
29095008400,7
29095008500,7
29095008600,7
29095008700,7
29095008800,7
29095008900,7
29095009000,7
29095009100,7
29095009200,7
29095009300,7
29095009400,7
29095009500,7
29095009600,7
29095009700,7
29095009800,7
29095009900,7
29095010001,4
29095010002,4
29095010103,4
29095010105,4
29095010201,4
29095010203,4
29095010204,4
29095010500,7
29095010600,7
29095010702,7
29095011001,7
29095011002,7
29095011100,7
29095011200,7
29095011300,7
29095011405,7
29095011406,7
29095011407,7
29095011408,7
29095011409,7
29095011410,7
29095011501,7
29095011502,7
29095011601,7
29095011602,7
29095011701,7
29095011702,7
29095011800,7
29095011900,7
29095012000,7
29095012100,7
29095012200,7
29095012300,7
29095012400,7
29095012501,7
29095012502,7
29095012600,7
29095012702,7
29095012703,7
29095012802,7
29095012803,7
29095012804,7
29095012903,4
29095012904,4
29095012906,4
29095013003,4
29095013100,4
29095013203,4
29095013208,4
29095013210,4
29095013301,4
29095013307,4
29095013309,4
29095013313,4
29095013401,4
29095013405,4
29095013407,4
29095013410,4
29095013416,4
29095013417,4
29095013418,4
29095013502,4
29095013504,4
29095013606,4
29095013612,4
29095013613,4
29095013614,4
29095013615,4
29095013705,4
29095013706,4
29095013707,4
29095013708,4
29095013801,4
29095013803,4
29095013804,4
29095013902,4
29095013904,4
29095013916,4
29095013917,4
29095013918,4
29095014002,4
29095014004,5
29095014005,5
29095014006,4
29095014008,4
29095014009,7
29095014111,4
29095014112,4
29095014120,4
29095014121,4
29095014122,4
29095014123,7
29095014124,7
29095014125,4
29095014126,7
29095014127,7
29095014128,7
29095014203,7
29095014205,7
29095014206,7
29095014300,7
29095014400,4
29095014501,7
29095014503,7
29095014504,7
29095014601,7
29095014603,7
29095014604,7
29095014701,7
29095014702,7
29095014804,7
29095014806,7
29095014902,7
29095014903,7
29095014904,7
29095014905,7
29095015000,5
29095015100,7
29095015200,7
29095015300,7
29095015401,7
29095015402,7
29095015500,7
29095015600,7
29095015701,7
29095015702,7
29095015800,7
29095015900,7
29095016000,7
29095016100,7
29095016200,7
29095016300,7
29095016400,7
29095016500,7
29095016600,7
29095016700,7
29095016801,7
29095016802,7
29095016900,7
29095017000,7
29095017100,7
29095017200,7
29095017300,4
29095017400,4
29095017500,7
29095017600,7
29095017700,7
29095017800,7
29095017900,4
29095018000,4
29095018101,4
29095018102,4
29095018200,4
29095018500,7
29095018600,4
29095019301,7
29095019302,7
29095980101,7
29095980802,7
29095988300,4
29095989100,4
29095989200,7
29097010100,2
29097010200,2
29097010301,2
29097010302,2
29097010400,2
29097010500,2
29097010601,2
29097010602,2
29097010700,2
29097010800,2
29097010901,2
29097010902,2
29097011000,2
29097011100,2
29097011201,2
29097011202,2
29097011301,2
29097011302,2
29097011400,2
29097011501,2
29097011502,2
29097011600,2
29097011700,2
29097011800,2
29097011900,2
29097012000,2
29097012100,2
29097012201,2
29097012202,2
29099700107,1
29099700111,1
29099700113,1
29099700114,1
29099700115,1
29099700116,1
29099700117,1
29099700118,1
29099700119,1
29099700120,1
29099700121,1
29099700122,1
29099700123,1
29099700124,1
29099700206,1
29099700207,1
29099700208,1
29099700209,1
29099700210,1
29099700211,1
29099700212,1
29099700213,1
29099700302,1
29099700303,1
29099700305,1
29099700306,1
29099700401,1
29099700402,1
29099700502,1
29099700503,1
29099700504,1
29099700603,1
29099700604,1
29099700605,1
29099700606,1
29099700607,1
29099700700,6
29099700801,1
29099700802,1
29099700900,6
29099701001,1
29099701002,6
29099701101,1
29099701102,1
29099701200,6
29099701300,6
29099701401,6
29099701403,6
29099701404,6
29101960101,4
29101960102,4
29101960200,4
29101960301,4
29101960302,4
29101960401,4
29101960402,4
29101960501,4
29101960502,4
29101960600,4
29101960701,4
29101960702,4
29101960900,4
29101980000,4
29103960100,5
29103960200,5
29105960101,4
29105960102,4
29105960201,4
29105960202,4
29105960301,4
29105960302,4
29105960400,4
29105960500,4
29105960600,4
29107090100,5
29107090200,5
29107090300,5
29107090401,5
29107090402,5
29107090500,5
29107090601,5
29107090602,5
29109470100,2
29109470201,2
29109470202,2
29109470300,2
29109470401,2
29109470402,2
29109470501,2
29109470502,2
29109470601,2
29109470602,2
29111970100,5
29111970200,5
29111970300,5
29111970400,5
29113810100,3
29113810203,3
29113810204,3
29113810205,3
29113810206,3
29113810305,3
29113810306,3
29113810307,3
29113810308,3
29113810309,3
29113810310,3
29113810401,3
29113810402,3
29115490100,5
29115490200,5
29115490300,5
29115490400,5
29115490500,5
29117480100,5
29117480200,5
29117480300,5
29117480400,5
29117480500,5
29119070101,2
29119070102,2
29119070200,2
29119070300,2
29119070401,2
29119070402,2
29121960100,5
29121960200,5
29121960300,5
29121960400,5
29121960500,5
29123960100,6
29123960201,6
29123960202,6
29123960300,6
29125880100,6
29125880298,6
29125880300,6
29127960100,5
29127960200,5
29127960300,5
29127960400,5
29127960500,5
29127960600,5
29127960800,5
29127960900,5
29129470100,5
29129470200,5
29131962501,4
29131962502,4
29131962600,4
29131962701,4
29131962702,4
29131962801,4
29131962802,4
29131962901,4
29131962902,4
29133950100,6
29133950200,6
29133950300,6
29133950400,6
29135385100,3
29135385200,3
29135385300,3
29135385400,3
29137960100,3
29137960200,3
29137960300,3
29139970100,3
29139970200,3
29139970300,3
29139970400,3
29141470100,4
29141470200,4
29141470300,4
29141470401,4
29141470402,4
29141470501,4
29141470502,4
29141470503,4
29143960100,6
29143960200,6
29143960300,6
29143960400,6
29143960500,6
29143960600,6
29145020100,2
29145020200,2
29145020300,2
29145020401,2
29145020402,2
29145020501,2
29145020502,2
29145020601,2
29145020602,2
29145020700,2
29145020800,2
29145020900,2
29145021000,2
29147470100,5
29147470200,5
29147470301,5
29147470302,5
29147470400,5
29147470500,5
29149480100,6
29149480200,6
29149480300,6
29151490100,6
29151490200,6
29151490300,6
29151490400,6
29153470101,6
29153470102,6
29153470200,6
29155470100,6
29155470200,6
29155470300,6
29155470400,6
29155470500,6
29155470600,6
29157470100,6
29157470200,6
29157470300,6
29157470400,6
29157470500,6
29159480100,4
29159480200,4
29159480300,4
29159480400,4
29159480500,4
29159480600,4
29159480700,4
29159480800,4
29159480900,4
29159481000,4
29159481100,4
29161890100,6
29161890200,6
29161890301,6
29161890302,6
29161890401,6
29161890402,6
29161890500,6
29161890600,6
29161890700,6
29161890800,6
29161890900,6
29161891000,6
29163460100,3
29163460200,3
29163460300,3
29163460400,3
29163460500,3
29165030002,7
29165030003,7
29165030004,7
29165030101,7
29165030102,7
29165030103,7
29165030201,7
29165030207,7
29165030208,7
29165030210,7
29165030211,7
29165030212,7
29165030213,7
29165030214,7
29165030215,7
29165030216,7
29165030306,7
29165030308,7
29165030309,7
29165030310,7
29165030401,7
29165030501,7
29165030502,7
29165030601,7
29165030602,7
29165030700,7
29165980000,7
29167960101,4
29167960102,4
29167960201,4
29167960202,4
29167960301,4
29167960302,4
29167960401,4
29167960402,4
29169470101,4
29169470102,4
29169470286,4
29169470288,4
29169470289,4
29169470389,4
29169470390,4
29169470401,4
29169470402,4
29169470501,4
29169470502,4
29169470601,4
29169470602,4
29171960100,5
29171960200,5
29173470100,3
29173470200,3
29173470300,3
29175490100,5
29175490200,5
29175490300,5
29175490400,5
29175490500,5
29175490600,5
29177080001,5
29177080002,5
29177080100,5
29177080201,5
29177080202,5
29177080300,5
29179380100,6
29179380200,6
29181870100,6
29181870200,6
29181870300,6
29181870400,6
29183310100,8
29183310201,8
29183310202,8
29183310301,3
29183310302,3
29183310400,3
29183310501,3
29183310502,3
29183310601,3
29183310602,3
29183310700,3
29183310801,3
29183310802,3
29183310901,3
29183310902,3
29183310903,3
29183311001,3
29183311003,3
29183311004,3
29183311103,1
29183311114,3
29183311122,1
29183311124,3
29183311132,1
29183311145,3
29183311146,3
29183311147,1
29183311148,1
29183311149,1
29183311150,1
29183311151,3
29183311152,3
29183311153,3
29183311154,3
29183311203,3
29183311211,3
29183311212,3
29183311221,3
29183311294,3
29183311296,3
29183311311,3
29183311312,3
29183311322,3
29183311331,3
29183311391,3
29183311422,3
29183311500,3
29183311602,3
29183311603,3
29183311604,3
29183311712,3
29183311721,3
29183311732,3
29183311733,3
29183311734,3
29183311735,3
29183311737,3
29183311738,3
29183311739,3
29183311740,3
29183311801,3
29183311802,3
29183311903,3
29183311904,3
