GEOID,district
29001950100,2
29001950200,2
29001950300,2
29001950400,2
29001950501,2
29001950502,2
29001950900,2
29001951000,2
29003010100,2
29003010201,2
29003010202,2
29003010300,2
29003010400,2
29005950100,2
29005950200,2
29007950100,2
29007950200,2
29007950300,2
29007950400,2
29007950500,2
29007950600,2
29007950700,2
29009960101,6
29009960102,6
29009960201,6
29009960202,6
29009960301,6
29009960302,6
29009960401,6
29009960402,6
29009960500,6
29009960600,6
29011960100,6
29011960200,6
29011960300,6
29013070100,7
29013070200,7
29013070300,7
29013070400,7
29015460100,7
29015460200,7
29015460300,7
29015460400,7
29015460701,7
29015460702,7
29015460801,7
29015460802,7
29017950100,3
29017950200,3
29017950300,3
29019000200,2
29019000300,2
29019000500,2
29019000600,2
29019000700,2
29019000900,2
29019001001,2
29019001003,2
29019001004,2
29019001105,2
29019001106,2
29019001107,2
29019001108,2
29019001109,2
29019001110,2
29019001201,2
29019001202,2
29019001300,2
29019001401,2
29019001402,2
29019001503,2
29019001505,2
29019001506,2
29019001507,2
29019001508,2
29019001602,2
29019001603,2
29019001604,2
29019001702,2
29019001703,2
29019001704,2
29019001803,2
29019001806,2
29019001807,2
29019001901,2
29019001903,2
29019001904,2
29019002000,2
29019002100,2
29019002200,2
29021000100,1
29021000200,1
29021000300,1
29021000400,1
29021000500,1
29021000600,1
29021000701,1
29021000702,1
29021000900,1
29021001000,1
29021001100,1
29021001200,1
29021001500,1
29021001600,1
29021001700,1
29021001800,1
29021002100,1
29021002200,1
29021002300,1
29021002400,1
29021002500,1
29021002700,1
29021002800,1
29021002900,1
29021003001,1
29021003002,1
29023950101,3
29023950102,3
29023950201,3
29023950202,3
29023950301,3
29023950302,3
29023950400,3
29023950500,3
29023950600,3
29023950700,3
29023950800,3
29023950900,3
29025950100,2
29025950201,2
29025950202,2
29027070100,2
29027070200,2
29027070301,2
29027070302,2
29027070400,2
29027070500,2
29027070601,2
29027070602,2
29027070701,2
29027070702,2
29027070800,2
29029950101,7
29029950102,7
29029950201,7
29029950202,7
29029950301,7
29029950302,7
29029950401,7
29029950402,7
29029950500,7
29029950600,7
29029950701,7
29029950702,7
29029950801,7
29029950802,7
29029950900,7
29029951101,7
29029951102,7
29029951201,7
29029951202,7
29031880100,3
29031880200,3
29031880300,3
29031880401,3
29031880402,3
29031880501,3
29031880502,3
29031880600,3
29031880700,3
29031880800,3
29031880900,3
29031881000,3
29031881100,3
29031881200,3
29031881301,3
29031881302,3
29031881400,3
29031881500,3
29031881600,3
29033960100,2
29033960200,2
29033960300,2
29035960100,3
29035960200,3
29037060001,7
29037060003,7
29037060004,7
29037060100,7
29037060202,7
29037060305,7
29037060306,7
29037060307,7
29037060308,7
29037060309,7
29037060401,7
29037060402,7
29037060500,7
29037060601,7
29037060602,7
29037060700,7
29037060800,7
29037060904,7
29037061001,7
29037061002,7
29037061100,7
29037061200,7
29037061300,7
29037061400,7
29039870101,7
29039870102,7
29039870200,7
29039870300,7
29041470100,2
29041470200,2
29041470300,2
29043020101,6
29043020102,6
29043020201,6
29043020202,6
29043020204,6
29043020205,6
29043020206,6
29043020207,6
29043020302,6
29043020303,6
29043020304,6
29043020307,6
29043020308,6
29043020309,6
29043020310,6
29043020401,6
29043020402,6
29043020501,6
29043020502,6
29045950100,2
29045950200,2
29045950300,2
29047020201,1
29047020202,1
29047020300,1
29047020400,1
29047020500,1
29047020602,1
29047020603,1
29047020604,1
29047020802,1
29047020803,1
29047020901,1
29047020902,1
29047021001,1
29047021003,1
29047021004,1
29047021101,1
29047021103,1
29047021104,1
29047021105,1
29047021204,1
29047021208,1
29047021209,1
29047021210,1
29047021211,1
29047021212,1
29047021213,1
29047021214,1
29047021303,1
29047021307,1
29047021309,1
29047021311,1
29047021312,1
29047021313,1
29047021314,1
29047021401,1
29047021403,1
29047021404,1
29047021601,1
29047021602,1
29047021701,1
29047021703,1
29047021704,1
29047021806,1
29047021807,1
29047021808,1
29047021809,1
29047021810,1
29047021811,1
29047021812,1
29047021900,1
29047022000,1
29047022100,1
29047022200,1
29047022301,1
29047022302,1
29049960100,2
29049960201,2
29049960202,2
29049960300,2
29049960400,2
29051010300,2
29051010401,2
29051010402,2
29051010500,2
29051010600,2
29051010701,2
29051010702,2
29051010801,2
29051010802,2
29051010901,2
29051010902,2
29051020198,2
29051020200,2
29051020300,2
29051020400,2
29051020500,2
29051020600,2
29051020700,2
29053950100,2
29053950200,2
29053950300,2
29053950400,2
29053950500,2
29055450101,8
29055450103,8
29055450104,8
29055450200,8
29055450301,8
29055450302,8
29055450401,8
29055450402,8
29057480100,6
29057480200,6
29059480100,3
29059480200,3
29059480301,3
29059480302,3
29061470100,2
29061470200,2
29063080101,2
29063080102,2
29063080200,2
29065960100,3
29065960200,3
29065960300,3
29065960400,3
29067950100,3
29067950200,3
29067950500,3
29069360100,3
29069360200,3
29069360300,3
29069360400,3
29069360500,3
29069360600,3
29069360700,3
29069360800,3
29069360900,3
29069361000,3
29071800101,8
29071800102,8
29071800103,8
29071800104,8
29071800201,8
29071800202,8
29071800301,8
29071800302,8
29071800401,8
29071800403,8
29071800404,8
29071800501,8
29071800502,8
29071800603,8
29071800604,8
29071800605,8
29071800606,8
29071800702,8
29071800703,8
29071800704,8
29071800801,8
29071800802,8
29071800901,8
29071800903,8
29071800904,8
29071801000,8
29071801101,8
29071801102,8
29073960100,3
29073960200,3
29073960300,3
29073960400,3
29073960500,3
29075960100,2
29075960200,2
29077000101,6
29077000102,6
29077000200,6
29077000300,6
29077000400,6
29077000501,6
29077000502,6
29077000600,6
29077000700,6
29077000800,6
29077000900,6
29077001000,6
29077001100,6
29077001200,6
29077001301,6
29077001302,6
29077001401,6
29077001402,6
29077001500,6
29077001700,6
29077001800,6
29077001900,6
29077002200,6
29077002300,6
29077002402,6
29077002502,6
29077002600,6
29077002700,6
29077002800,6
29077002900,6
29077003003,6
29077003004,6
29077003100,6
29077003200,6
29077003300,6
29077003600,6
29077003701,6
29077003702,6
29077003801,6
29077003802,6
29077003900,6
29077004002,6
29077004003,6
29077004004,6
29077004005,6
29077004104,6
29077004105,6
29077004106,6
29077004107,6
29077004108,6
29077004109,6
29077004201,6
29077004202,6
29077004303,6
29077004304,6
29077004305,6
29077004306,6
29077004401,6
29077004402,6
29077004500,6
29077004601,6
29077004602,6
29077004700,6
29077004802,6
29077004803,6
29077004804,6
29077004805,6
29077004900,6
29077005001,6
29077005002,6
29077005100,6
29077005201,6
29077005202,6
29077005500,6
29077005600,6
29077005700,6
29077005801,6
29077005802,6
29079960100,2
29079960200,2
29079960300,2
29079960400,2
29081950100,2
29081950200,2
29081950300,2
29083950100,7
29083950200,7
29083950300,7
29083950400,7
29083950500,7
29083950600,7
29085470100,7
29085470300,7
29085470501,7
29085470502,3
29087960100,2
29087960200,2
29087960300,2
29089960100,2
29089960200,2
29089960300,2
29091090101,3
29091090102,3
29091090200,3
29091090300,3
29091090400,3
29091090500,3
29091090600,3
29091090700,3
29091090801,3
29091090802,3
29093950100,3
29093950200,3
29093950300,3
29093950400,3
29095000300,1
29095000600,1
29095000700,1
29095000800,1
29095000900,1
29095001000,1
29095001100,1
29095001800,1
29095001900,1
29095002000,1
29095002100,1
29095002200,1
29095002300,1
29095003400,1
29095003700,1
29095003800,1
29095004300,1
29095004400,1
29095004600,1
29095005100,1
29095005200,1
29095005300,1
29095005400,1
29095005500,1
29095005601,1
29095005602,1
29095005700,1
29095005801,1
29095006000,1
29095006100,1
29095006300,1
29095006500,1
29095006600,1
29095006700,1
29095006900,1
29095007100,1
29095007200,1
29095007301,1
29095007302,1
29095007400,1
29095007500,1
29095007600,1
29095007700,1
29095007802,1
29095007900,1
29095008000,1
29095008100,7
29095008200,7
29095008300,7
29095008400,7
29095008500,7
29095008600,7
29095008700,7
29095008800,7
29095008900,7
29095009000,7
29095009100,7
29095009200,7
29095009300,7
29095009400,7
29095009500,7
29095009600,7
29095009700,7
29095009800,7
29095009900,7
29095010001,7
29095010002,7
29095010103,7
29095010105,7
29095010201,7
29095010203,7
29095010204,7
29095010500,7
29095010600,7
29095010702,1
29095011001,1
29095011002,1
29095011100,1
29095011200,1
29095011300,1
29095011405,1
29095011406,1
29095011407,1
29095011408,1
29095011409,1
29095011410,1
29095011501,1
29095011502,1
29095011601,1
29095011602,1
29095011701,1
29095011702,1
29095011800,1
29095011900,1
29095012000,1
29095012100,1
29095012200,1
29095012300,1
29095012400,1
29095012501,7
29095012502,7
29095012600,7
29095012702,7
29095012703,7
29095012802,7
29095012803,7
29095012804,7
29095012903,7
29095012904,7
29095012906,7
29095013003,7
29095013100,7
29095013203,7
29095013208,7
29095013210,7
29095013301,7
29095013307,7
29095013309,7
29095013313,7
29095013401,7
29095013405,7
29095013407,7
29095013410,7
29095013416,7
29095013417,7
29095013418,7
29095013502,7
29095013504,7
29095013606,7
29095013612,7
29095013613,7
29095013614,7
29095013615,7
29095013705,7
29095013706,7
29095013707,7
29095013708,7
29095013801,7
29095013803,7
29095013804,7
29095013902,7
29095013904,7
29095013916,7
29095013917,7
29095013918,7
29095014002,7
29095014004,7
29095014005,7
29095014006,7
29095014008,7
29095014009,1
29095014111,7
29095014112,7
29095014120,7
29095014121,7
29095014122,7
29095014123,7
29095014124,7
29095014125,7
29095014126,7
29095014127,7
29095014128,7
29095014203,7
29095014205,7
29095014206,7
29095014300,7
29095014400,7
29095014501,1
29095014503,7
29095014504,7
29095014601,1
29095014603,1
29095014604,1
29095014701,1
29095014702,1
29095014804,1
29095014806,1
29095014902,1
29095014903,1
29095014904,1
29095014905,1
29095015000,1
29095015100,1
29095015200,1
29095015300,1
29095015401,1
29095015402,1
29095015500,1
29095015600,1
29095015701,1
29095015702,1
29095015800,1
29095015900,1
29095016000,1
29095016100,1
29095016200,1
29095016300,1
29095016400,1
29095016500,1
29095016600,1
29095016700,1
29095016801,1
29095016802,1
29095016900,1
29095017000,1
29095017100,1
29095017200,7
29095017300,7
29095017400,7
29095017500,7
29095017600,7
29095017700,1
29095017800,1
29095017900,7
29095018000,7
29095018101,7
29095018102,7
29095018200,7
29095018500,7
29095018600,7
29095019301,7
29095019302,7
29095980101,7
29095980802,1
29095988300,7
29095989100,7
29095989200,1
29097010100,6
29097010200,6
29097010301,6
29097010302,6
29097010400,6
29097010500,6
29097010601,6
29097010602,6
29097010700,6
29097010800,6
29097010901,6
29097010902,6
29097011000,6
29097011100,6
29097011201,6
29097011202,6
29097011301,6
29097011302,6
29097011400,6
29097011501,6
29097011502,6
29097011600,6
29097011700,6
29097011800,6
29097011900,6
29097012000,6
29097012100,6
29097012201,6
29097012202,6
29099700107,4
29099700111,4
29099700113,4
29099700114,4
29099700115,4
29099700116,4
29099700117,4
29099700118,4
29099700119,4
29099700120,4
29099700121,4
29099700122,4
29099700123,4
29099700124,4
29099700206,4
29099700207,4
29099700208,4
29099700209,4
29099700210,4
29099700211,4
29099700212,4
29099700213,4
29099700302,8
29099700303,4
29099700305,4
29099700306,4
29099700401,8
29099700402,8
29099700502,8
29099700503,8
29099700504,8
29099700603,8
29099700604,8
29099700605,8
29099700606,8
29099700607,8
29099700700,8
29099700801,8
29099700802,8
29099700900,8
29099701001,8
29099701002,8
29099701101,8
29099701102,8
29099701200,8
29099701300,8
29099701401,8
29099701403,8
29099701404,8
29101960101,7
29101960102,7
29101960200,7
29101960301,7
29101960302,7
29101960401,7
29101960402,7
29101960501,7
29101960502,7
29101960600,7
29101960701,7
29101960702,7
29101960900,7
29101980000,7
29103960100,2
29103960200,2
29105960101,3
29105960102,3
29105960201,3
29105960202,3
29105960301,3
29105960302,3
29105960400,3
29105960500,3
29105960600,3
29107090100,2
29107090200,2
29107090300,2
29107090401,2
29107090402,2
29107090500,2
29107090601,2
29107090602,2
29109470100,6
29109470201,6
29109470202,6
