GEOID,district
29001950100,6
29001950200,6
29001950300,6
29001950400,6
29001950501,6
29001950502,6
29001950900,6
29001951000,6
29003010100,5
29003010201,5
29003010202,5
29003010300,5
29003010400,5
29005950100,5
29005950200,5
29007950100,6
29007950200,6
29007950300,6
29007950400,6
29007950500,6
29007950600,6
29007950700,6
29009960101,2
29009960102,2
29009960201,2
29009960202,2
29009960301,2
29009960302,2
29009960401,2
29009960402,2
29009960500,2
29009960600,2
29011960100,2
29011960200,2
29011960300,2
29013070100,4
29013070200,4
29013070300,4
29013070400,4
29015460100,4
29015460200,4
29015460300,4
29015460400,4
29015460701,4
29015460702,4
29015460801,4
29015460802,4
29017950100,7
29017950200,7
29017950300,7
29019000200,6
29019000300,6
29019000500,6
29019000600,6
29019000700,6
29019000900,6
29019001001,6
29019001003,6
29019001004,6
29019001105,6
29019001106,6
29019001107,6
29019001108,6
29019001109,6
29019001110,6
29019001201,6
29019001202,6
29019001300,6
29019001401,6
29019001402,6
29019001503,6
29019001505,6
29019001506,6
29019001507,6
29019001508,6
29019001602,6
29019001603,6
29019001604,6
29019001702,6
29019001703,6
29019001704,6
29019001803,6
29019001806,6
29019001807,6
29019001901,6
29019001903,6
29019001904,6
29019002000,6
29019002100,6
29019002200,6
29021000100,5
29021000200,5
29021000300,5
29021000400,5
29021000500,5
29021000600,5
29021000701,5
29021000702,5
29021000900,5
29021001000,5
29021001100,5
29021001200,5
29021001500,5
29021001600,5
29021001700,5
29021001800,5
29021002100,5
29021002200,5
29021002300,5
29021002400,5
29021002500,5
29021002700,5
29021002800,5
29021002900,5
29021003001,5
29021003002,5
29023950101,7
29023950102,7
29023950201,7
29023950202,7
29023950301,7
29023950302,7
29023950400,7
29023950500,7
29023950600,7
29023950700,7
29023950800,7
29023950900,7
29025950100,5
29025950201,5
29025950202,5
29027070100,6
29027070200,6
29027070301,6
29027070302,6
29027070400,6
29027070500,6
29027070601,6
29027070602,6
29027070701,6
29027070702,6
29027070800,6
29029950101,7
29029950102,7
29029950201,7
29029950202,7
29029950301,7
29029950302,7
29029950401,7
29029950402,7
29029950500,7
29029950600,7
29029950701,7
29029950702,7
29029950801,7
29029950802,7
29029950900,7
29029951101,7
29029951102,7
29029951201,7
29029951202,7
29031880100,7
29031880200,7
29031880300,7
29031880401,7
29031880402,7
29031880501,7
29031880502,7
29031880600,7
29031880700,7
29031880800,7
29031880900,7
29031881000,7
29031881100,7
29031881200,7
29031881301,7
29031881302,7
29031881400,7
29031881500,7
29031881600,7
29033960100,6
29033960200,6
29033960300,6
29035960100,7
29035960200,7
29037060001,4
29037060003,4
29037060004,4
29037060100,4
29037060202,4
29037060305,4
29037060306,4
29037060307,4
29037060308,4
29037060309,4
29037060401,4
29037060402,4
29037060500,4
29037060601,4
29037060602,4
29037060700,4
29037060800,4
29037060904,4
29037061001,4
29037061002,4
29037061100,4
29037061200,4
29037061300,4
29037061400,4
29039870101,4
29039870102,4
29039870200,4
29039870300,4
29041470100,6
29041470200,6
29041470300,6
29043020101,2
29043020102,2
29043020201,2
29043020202,2
29043020204,2
29043020205,2
29043020206,2
29043020207,2
29043020302,2
29043020303,2
29043020304,2
29043020307,2
29043020308,2
29043020309,2
29043020310,2
29043020401,2
29043020402,2
29043020501,2
29043020502,2
29045950100,6
29045950200,6
29045950300,6
29047020201,5
29047020202,5
29047020300,5
29047020400,5
29047020500,5
29047020602,5
29047020603,5
29047020604,5
29047020802,5
29047020803,5
29047020901,5
29047020902,5
29047021001,5
29047021003,5
29047021004,5
29047021101,5
29047021103,5
29047021104,5
29047021105,5
29047021204,5
29047021208,5
29047021209,5
29047021210,5
29047021211,5
29047021212,5
29047021213,5
29047021214,5
29047021303,5
29047021307,5
29047021309,5
29047021311,5
29047021312,5
29047021313,5
29047021314,5
29047021401,5
29047021403,5
29047021404,5
29047021601,5
29047021602,5
29047021701,5
29047021703,5
29047021704,5
29047021806,5
29047021807,5
29047021808,5
29047021809,5
29047021810,5
29047021811,5
29047021812,5
29047021900,5
29047022000,5
29047022100,5
29047022200,5
29047022301,5
29047022302,5
29049960100,5
29049960201,5
29049960202,5
29049960300,5
29049960400,5
29051010300,6
29051010401,6
29051010402,6
29051010500,6
29051010600,6
29051010701,6
29051010702,6
29051010801,6
29051010802,6
29051010901,6
29051010902,6
29051020198,6
29051020200,6
29051020300,6
29051020400,6
29051020500,6
29051020600,6
29051020700,6
29053950100,6
29053950200,6
29053950300,6
29053950400,6
29053950500,6
29055450101,8
29055450103,8
29055450104,8
29055450200,8
29055450301,8
29055450302,8
29055450401,8
29055450402,8
29057480100,2
29057480200,2
29059480100,7
29059480200,7
29059480301,7
29059480302,7
29061470100,5
29061470200,5
29063080101,5
29063080102,5
29063080200,5
29065960100,7
29065960200,7
29065960300,7
29065960400,7
29067950100,7
29067950200,7
29067950500,7
29069360100,7
29069360200,7
29069360300,7
29069360400,7
29069360500,7
29069360600,7
29069360700,7
29069360800,7
29069360900,7
29069361000,7
29071800101,8
29071800102,8
29071800103,8
29071800104,8
29071800201,8
29071800202,8
29071800301,8
29071800302,8
29071800401,8
29071800403,8
29071800404,8
29071800501,8
29071800502,8
29071800603,8
29071800604,8
29071800605,8
29071800606,8
29071800702,8
29071800703,8
29071800704,8
29071800801,8
29071800802,8
29071800901,8
29071800903,8
29071800904,8
29071801000,8
29071801101,8
29071801102,8
29073960100,8
29073960200,8
29073960300,8
29073960400,8
29073960500,8
29075960100,5
29075960200,5
29077000101,2
29077000102,2
29077000200,2
29077000300,2
29077000400,2
29077000501,2
29077000502,2
29077000600,2
29077000700,2
29077000800,2
29077000900,2
29077001000,2
29077001100,2
29077001200,2
29077001301,2
29077001302,2
29077001401,2
29077001402,2
29077001500,2
29077001700,2
29077001800,2
29077001900,2
29077002200,2
29077002300,2
29077002402,2
29077002502,2
29077002600,2
29077002700,2
29077002800,2
29077002900,2
29077003003,2
29077003004,2
29077003100,2
29077003200,2
29077003300,2
29077003600,2
29077003701,2
29077003702,2
29077003801,2
29077003802,2
29077003900,2
29077004002,2
29077004003,2
