GEOID20,POP20,votes_dem,votes_gop,WHITEPOP,BLACKPOP,HISPLATPOP
29510107400,1783,550.624638,250.4612758,16,1670,27
29510107500,2040,612.5549843,269.7726609,60,1910,28
29510107600,1905,514.0004608,253.8888799,25,1832,13
29510108100,2535,866.3323549,409.6483225,73,2355,20
29510108200,2260,720.2061207,351.0319206,70,2119,17
29510108300,1830,487.8876428,233.5028905,54,1705,13
29510109600,2496,734.5589813,346.3759747,33,2374,18
29510109700,1644,416.3573395,198.2716764,89,1482,12
29510110100,2264,640.2480866,300.4744776,27,2128,34
29510110200,1922,552.0704236,243.8723666,24,1824,17
29510110300,1904,495.051231,229.569468,24,1819,13
29510110400,1960,509.8978848,250.0045661,47,1834,30
29510110500,1002,288.5243362,128.8769415,32,943,9
29510111100,1874,463.3143488,225.0141177,64,1718,32
29510111200,1014,304.0905635,143.3760786,137,845,16
29510111300,1199,320.521871,151.5743485,22,1151,3
29510112100,4455,1351.79258,796.5396057,2665,960,242
29510112200,1434,359.6617679,177.4064569,178,1138,47
29510112300,1787,456.2916894,222.7969001,70,1620,30
29510112400,4492,1319.21684,788.098581,2888,556,250
29510113500,2352,639.8778982,573.0788655,2155,40,70
29510114101,4201,1226.397236,846.4901247,2928,755,200
29510114102,4211,1354.866021,1081.577218,3744,132,105
29510114200,4557,1400.077294,997.4061833,3581,435,211
29510114300,5242,1633.751093,1179.685316,4464,309,229
29510115100,3940,769.6849596,520.3975032,2283,842,511
29510115200,2960,575.3301621,367.4484031,1212,1039,417
29510115300,5047,870.0555557,581.6111113,1915,1700,628
29510115400,3054,572.4310571,429.4862684,1687,707,373
29510115500,5460,931.4010269,545.2132455,1609,2769,719
29510115600,5091,870.3338482,509.5322586,1881,2317,535
29510115700,3460,527.0300057,305.8504885,839,1817,412
29510116100,3057,686.2849333,420.2170482,1487,756,362
29510116200,4175,1431.516055,828.3166812,2982,621,183
29510116301,2902,952.9612429,554.7031854,2044,412,167
29510116302,3007,398.7072592,231.021533,629,1296,391
29510116400,4536,839.0108649,425.8892371,1008,2586,552
29510116500,3813,1121.530913,637.7753721,1927,1275,236
29510117100,1546,545.0850516,324.793619,1122,237,61
29510117200,5460,1901.654858,1061.378903,3493,1347,264
29510117400,4188,1364.85354,795.2164813,2714,978,162
29510118100,1591,373.7081603,207.6283573,676,702,98
29510118600,4561,934.2616575,517.3659421,2561,957,214
29510119101,2649,613.21618,349.5489032,1286,829,94
29510119102,3418,904.6204049,549.1984581,2108,458,158
29510119200,1946,459.0333719,254.8535654,808,891,78
29510119300,6100,880.6516838,494.4183552,3129,1423,304
29510120200,1092,254.9271939,126.2449994,45,1000,9
29510121200,1787,393.0951289,187.8664266,42,1669,31
29510123100,3235,1002.710176,536.9440703,1205,1756,145
29510123200,2464,709.1242656,430.192571,1480,744,80
29510123300,2928,837.0929392,518.0515655,1861,798,85
29510124100,4191,732.7926501,378.0603988,911,2591,478
29510124200,3070,627.8593865,337.3760114,1048,1487,373
29510124300,3059,921.5241379,567.7346464,2004,693,175
29510124600,1712,309.4505201,167.9671377,491,927,171
29510125500,3810,848.6112603,508.8744051,1885,1389,212
29510125600,5832,1025.036998,623.7501827,2383,2733,290
29510125700,2852,571.3066432,281.6361911,97,2651,32
29510126600,2779,550.6701117,283.6844262,418,2214,57
29510126700,1074,249.0827142,122.3013808,162,834,23
29510126800,3371,997.3884109,717.1771517,2661,258,157
29510126900,3958,1092.794625,525.5821635,50,3785,32
29510127000,1221,233.7507823,122.8344062,207,954,30
29510127100,1683,407.327402,190.361583,81,1548,15
29510127200,4163,1106.955436,816.0322458,2888,703,205
29510127300,3729,1167.869078,619.7054752,1367,1913,127
29510127400,4705,1086.844846,598.0148716,1348,3056,89
29510127500,2461,558.3690983,278.0086256,553,1730,42
29510127600,3444,863.9706565,532.5496062,2389,759,145
29510127700,1868,480.030853,220.0895562,41,1750,7
29510127800,3961,707.5967155,380.1138792,1041,2570,123
29001,25314,4171.555557,5265.777778,21843,1279,661
29003,18135,3225.805963,4927.176731,16907,156,391
29007,24962,3524.752342,4961.166462,21648,1307,731
29009,34534,5163.944446,8563.05556,28655,106,3333
29011,11637,1969.586141,3488.155376,10462,32,266
29013,16042,2891.666668,4514.611111,14925,155,335
29015,19394,2927.179608,4442.679996,18031,76,310
29017,10567,1859.24021,3311.595402,9932,39,153
29019,183610,40833.19439,38641.07938,139955,18100,8052
29021,84793,14609.44445,18139.3889,70025,4423,5600
29023,42130,5975.772876,10035.04776,36033,2488,901
29027,44283,7620.66515,10767.36458,38771,1974,965
29029,42745,8545.714942,13176.02505,39109,258,1355
29031,81710,14434.57786,20688.99429,67937,6503,2234
29037,107824,21167.00001,27728.22223,91092,5018,5583
29039,14188,1799.636165,3012.970618,12996,64,261
29043,88842,15069.44652,23393.33718,79916,616,3012
29049,21184,3914.277779,5617.166669,19426,209,502
