Unit 1,Unit 2,Length of shared border
29077000501,29077000502,2.084892811
29077000501,29077001700,1.699053993
29077000600,29077000501,0.486494984
29077000501,29077000400,1.507288155
29077005802,29077000501,0
29077005802,29077000400,0
29077005802,29077001700,0
29077000501,29077000400,0
29077000501,29077001700,0
29077000400,29077001700,0
29187950402,29187950902,11.13409294
29187950902,29187950901,3.194678948
29187950802,29187950902,0
29187950802,29187950801,0
29187950802,29187950901,0
29187950902,29187950801,0
29187950902,29187950901,0
29187950801,29187950901,0
29187950902,29187950801,2.408360905
29187950902,29187950703,2.603498839
29001950200,29001950100,36.68962541
29197470200,29001950100,20.64665638
29197470100,29001950100,10.70075431
29199480100,29001950100,6.276629786
29103960200,29001950100,25.96681885
29103960100,29001950100,11.06020785
29121960100,29001950100,15.393182
29001950502,29001950100,10.97342976
29001950400,29001950100,16.38234494
29001950300,29001950100,5.540884817
29001950200,29001950300,8.972354385
29001950400,29001950300,7.397793472
29001950900,29001950300,2.52800067
29001950501,29001950300,13.80968771
29001950502,29001950400,3.971947688
29001950900,29001950400,3.242708321
29001950501,29001951000,1.886147637
29001951000,29001950900,0.85222601
29001951000,29001950502,2.081626874
29211480100,29001950200,42.22238662
29001950200,29197470200,3.92156375
29001950501,29001950200,25.40601574
29001950200,29001950502,3.376290886
29121960100,29001950200,1.183704261
29121960200,29001950200,36.59535869
29001950200,29115490100,0.921970704
29001950501,29001950900,0.291037108
29001950502,29001950900,1.135115841
29077005700,29077002402,2.029444723
29077002402,29077002300,1.927649304
29077002402,29077003701,2.036276156
29183311132,29183311122,1.671131719
29183311132,29183311150,2.68661003
29183311132,29183311148,5.835058069
29183311132,29189221630,6.695129108
29189210926,29189211301,1.503579968
29189210923,29189210926,1.872051392
29189210924,29189210926,1.363420935
29189210912,29189210926,0.239555389
29189210925,29189210926,4.650159219
29189211201,29189210926,0.216714735
29199480200,29199480100,40.46295347
29199480100,29197470100,34.72211235
29199480100,other,56.93815227
29199480100,29045950100,42.2033503
